         2044106 function calls (2044077 primitive calls) in 1.430 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap_external>:1187(get_data)
       56    0.000    0.000    0.002    0.000 connection.py:331(connect_check_health)
      106    0.000    0.000    0.002    0.000 resp2.py:87(_read_response)
      157    0.000    0.000    0.002    0.000 timeouts.py:50(reschedule)
      6/4    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      3/2    0.000    0.000    0.002    0.001 {built-in method builtins.exec}
       54    0.000    0.000    0.002    0.000 windows_events.py:495(recv_into)
        3    0.001    0.000    0.001    0.000 {built-in method _io.open_code}
        1    0.000    0.000    0.001    0.001 idna.py:1(<module>)
      106    0.000    0.000    0.001    0.000 base.py:549(_readline)
       50    0.000    0.000    0.001    0.000 connection.py:614(can_read_destructive)
       50    0.000    0.000    0.001    0.000 base.py:518(can_read_destructive)
      110    0.001    0.000    0.001    0.000 windows_events.py:714(_register)
    10052    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
    10139    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.001    0.001 __init__.py:41(__getattr__)
    10000    0.001    0.000    0.001    0.000 _utils.py:336(smart_deepcopy)
        1    0.000    0.000    0.001    0.001 __init__.py:464(version)
        1    0.000    0.000    0.001    0.001 __init__.py:436(metadata)
      217    0.000    0.000    0.001    0.000 base_events.py:789(call_soon)
      106    0.000    0.000    0.001    0.000 streams.py:549(readline)
      107    0.000    0.000    0.001    0.000 base_events.py:771(call_at)
      108    0.000    0.000    0.001    0.000 windows_events.py:92(set_result)
       50    0.000    0.000    0.001    0.000 core.py:6374(eval)
      106    0.000    0.000    0.001    0.000 streams.py:580(readuntil)
       50    0.000    0.000    0.001    0.000 connection.py:1305(release)
    10000    0.001    0.000    0.001    0.000 hmac.py:139(_current)
        4    0.000    0.000    0.001    0.000 connection.py:405(on_connect_check_health)
      218    0.000    0.000    0.001    0.000 base_events.py:818(_call_soon)
      157    0.000    0.000    0.001    0.000 timeouts.py:97(__aexit__)
        1    0.000    0.000    0.001    0.001 __init__.py:856(distribution)
        1    0.000    0.000    0.001    0.001 __init__.py:383(from_name)
        4    0.000    0.000    0.001    0.000 connection.py:808(_connect)
      164    0.000    0.000    0.001    0.000 {function _OverlappedFuture.set_result at 0x00000180F1E5D940}
        1    0.000    0.000    0.001    0.001 {built-in method builtins.next}
       53    0.000    0.000    0.001    0.000 proactor_events.py:251(_data_received)
        4    0.000    0.000    0.001    0.000 streams.py:26(open_connection)
        4    0.000    0.000    0.001    0.000 base_events.py:1024(create_connection)
      157    0.000    0.000    0.001    0.000 timeouts.py:129(timeout)
       54    0.001    0.000    0.001    0.000 {method 'WSARecvInto' of '_overlapped.Overlapped' objects}
        1    0.000    0.000    0.001    0.001 __init__.py:31(message_from_string)
        9    0.000    0.000    0.001    0.000 __init__.py:794(<genexpr>)
        1    0.000    0.000    0.001    0.001 parser.py:56(parsestr)
        1    0.000    0.000    0.001    0.001 parser.py:41(parse)
        8    0.000    0.000    0.001    0.000 __init__.py:692(search)
      325    0.000    0.000    0.001    0.000 events.py:36(__init__)
       50    0.000    0.000    0.001    0.000 event.py:117(dispatch_async)
       53    0.000    0.000    0.001    0.000 streams.py:284(data_received)
        2    0.000    0.000    0.001    0.000 feedparser.py:171(feed)
        3    0.000    0.000    0.000    0.000 feedparser.py:176(_call_parse)
      110    0.000    0.000    0.000    0.000 windows_events.py:55(__init__)
        3    0.000    0.000    0.000    0.000 feedparser.py:216(_parsegen)
      107    0.000    0.000    0.000    0.000 events.py:111(__init__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1597(find_spec)
        2    0.000    0.000    0.000    0.000 base_events.py:981(_connect_sock)
       51    0.000    0.000    0.000    0.000 utils.py:172(_get_filterable_args)
       53    0.000    0.000    0.000    0.000 streams.py:499(feed_data)
      218    0.000    0.000    0.000    0.000 _weakrefset.py:75(__contains__)
       50    0.000    0.000    0.000    0.000 core.py:6365(_eval)
       20    0.000    0.000    0.000    0.000 {built-in method nt.stat}
      106    0.000    0.000    0.000    0.000 streams.py:521(_wait_for_data)
        1    0.000    0.000    0.000    0.000 __init__.py:811(read_text)
      110    0.000    0.000    0.000    0.000 windows_events.py:704(_register_with_iocp)
